,activation,alpha,batch_size,hidden_layer_sizes,learning_rate_init,max_iter,momentum,nesterovs_momentum,solver,tol,Validation neg_mean_squared_error
0,logistic,0.001,128.0,"[5, 10]",0.001,3000,0.5,True,sgd,0.0001,-7.532570695072428
1,logistic,0.001,128.0,"[5, 10]",0.3,3000,0.9,False,sgd,0.0001,-7.532570695072428
2,logistic,0.001,128.0,"[5, 10]",0.001,3000,0.5,False,sgd,0.0001,-7.532570695072428
3,logistic,0.001,128.0,"[5, 10]",0.001,3000,0.9,False,sgd,0.0001,-7.532570695072428
4,logistic,0.001,128.0,"[5, 10]",0.01,3000,0.5,True,sgd,0.0001,-7.532570695072428
5,logistic,0.001,128.0,"[5, 10]",0.01,3000,0.5,False,sgd,0.0001,-7.532570695072428
6,logistic,0.001,128.0,"[5, 10]",0.01,3000,0.9,True,sgd,0.0001,-7.532570695072428
7,logistic,0.001,128.0,"[5, 10]",0.01,3000,0.9,False,sgd,0.0001,-7.532570695072428
8,logistic,0.001,128.0,"[5, 10]",0.1,3000,0.5,True,sgd,0.0001,-7.532570695072428
9,logistic,0.001,128.0,"[5, 10]",0.1,3000,0.5,False,sgd,0.0001,-7.532570695072428
10,logistic,0.001,128.0,"[5, 10]",0.1,3000,0.9,True,sgd,0.0001,-7.532570695072428
11,logistic,0.001,128.0,"[5, 10]",0.1,3000,0.9,False,sgd,0.0001,-7.532570695072428
12,logistic,0.001,128.0,"[5, 10]",0.3,3000,0.5,True,sgd,0.0001,-7.532570695072428
13,logistic,0.001,128.0,"[5, 10]",0.3,3000,0.5,False,sgd,0.0001,-7.532570695072428
14,logistic,0.001,128.0,"[5, 10]",0.3,3000,0.9,True,sgd,0.0001,-7.532570695072428
15,logistic,0.001,128.0,"[5, 10]",0.001,3000,0.9,True,sgd,0.0001,-7.532570695072428
16,logistic,0.005,128.0,"[5, 10]",0.3,3000,0.9,True,sgd,0.0001,-7.532939635972058
17,logistic,0.005,128.0,"[5, 10]",0.01,3000,0.9,False,sgd,0.0001,-7.532939635972058
18,logistic,0.005,128.0,"[5, 10]",0.3,3000,0.9,False,sgd,0.0001,-7.532939635972058
19,logistic,0.005,128.0,"[5, 10]",0.001,3000,0.5,True,sgd,0.0001,-7.532939635972058
20,logistic,0.005,128.0,"[5, 10]",0.001,3000,0.9,True,sgd,0.0001,-7.532939635972058
21,logistic,0.005,128.0,"[5, 10]",0.001,3000,0.9,False,sgd,0.0001,-7.532939635972058
22,logistic,0.005,128.0,"[5, 10]",0.01,3000,0.5,True,sgd,0.0001,-7.532939635972058
23,logistic,0.005,128.0,"[5, 10]",0.01,3000,0.5,False,sgd,0.0001,-7.532939635972058
24,logistic,0.005,128.0,"[5, 10]",0.01,3000,0.9,True,sgd,0.0001,-7.532939635972058
25,logistic,0.005,128.0,"[5, 10]",0.001,3000,0.5,False,sgd,0.0001,-7.532939635972058
26,logistic,0.005,128.0,"[5, 10]",0.1,3000,0.5,True,sgd,0.0001,-7.532939635972058
27,logistic,0.005,128.0,"[5, 10]",0.1,3000,0.9,True,sgd,0.0001,-7.532939635972058
28,logistic,0.005,128.0,"[5, 10]",0.1,3000,0.9,False,sgd,0.0001,-7.532939635972058
29,logistic,0.005,128.0,"[5, 10]",0.3,3000,0.5,True,sgd,0.0001,-7.532939635972058
30,logistic,0.005,128.0,"[5, 10]",0.3,3000,0.5,False,sgd,0.0001,-7.532939635972058
31,logistic,0.005,128.0,"[5, 10]",0.1,3000,0.5,False,sgd,0.0001,-7.532939635972058
32,logistic,0.01,128.0,"[5, 10]",0.1,3000,0.5,True,sgd,0.0001,-7.533404743783956
33,logistic,0.01,128.0,"[5, 10]",0.3,3000,0.5,False,sgd,0.0001,-7.533404743783956
34,logistic,0.01,128.0,"[5, 10]",0.3,3000,0.5,True,sgd,0.0001,-7.533404743783956
35,logistic,0.01,128.0,"[5, 10]",0.1,3000,0.9,False,sgd,0.0001,-7.533404743783956
36,logistic,0.01,128.0,"[5, 10]",0.1,3000,0.9,True,sgd,0.0001,-7.533404743783956
37,logistic,0.01,128.0,"[5, 10]",0.1,3000,0.5,False,sgd,0.0001,-7.533404743783956
38,logistic,0.01,128.0,"[5, 10]",0.001,3000,0.5,False,sgd,0.0001,-7.533404743783956
39,logistic,0.01,128.0,"[5, 10]",0.01,3000,0.5,False,sgd,0.0001,-7.533404743783956
40,logistic,0.01,128.0,"[5, 10]",0.01,3000,0.9,False,sgd,0.0001,-7.533404743783956
41,logistic,0.01,128.0,"[5, 10]",0.01,3000,0.9,True,sgd,0.0001,-7.533404743783956
42,logistic,0.01,128.0,"[5, 10]",0.01,3000,0.5,True,sgd,0.0001,-7.533404743783956
43,logistic,0.01,128.0,"[5, 10]",0.001,3000,0.9,False,sgd,0.0001,-7.533404743783956
44,logistic,0.01,128.0,"[5, 10]",0.001,3000,0.9,True,sgd,0.0001,-7.533404743783956
45,logistic,0.01,128.0,"[5, 10]",0.3,3000,0.9,False,sgd,0.0001,-7.533404743783956
46,logistic,0.01,128.0,"[5, 10]",0.3,3000,0.9,True,sgd,0.0001,-7.533404743783956
47,logistic,0.01,128.0,"[5, 10]",0.001,3000,0.5,True,sgd,0.0001,-7.533404743783956
48,logistic,0.1,128.0,"[5, 10]",0.3,3000,0.9,False,sgd,0.0001,-7.553403443610989
